blue.png, , bomb.png, , bottle_empty_left.png, , bottle_empty_right.png, , bottle_full_left.png, , bottle_full_right.png, , bottle_one_missing_left.png, , bottle_one_missing_right.png, , bottle_two_missing_left.png, , bottle_two_missing_right.png, , bottom_left.png, , bottom_right.png, , coin.png, , color_bomb.png, , green.png, , liner.png, , liner_horiz.png, , locked.png, , locked_double.png, , locked_triple.png, , red.png, , rotor.png, , saw_left.png, , saw_right.png, , saw_up.png, , upper_left.png, , upper_right.png, , vase.png, , yellow.png, 
fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp, fn, fp
0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 8, -1, -1, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, -1, 9, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0
0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 6, 0, 6, -1, 7, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 6, 0, 6, -1, 13, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, -1, -1, -1, -1, -1, -1, 0, 6, 0, 6, -1, 6, -1, 8, -1, -1, -1, -1, 0, 5, 0, 4, -1, 13, -1, -1, 0, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 3, 0, 3, 0, 15, 0, 16, 0, 14, 0, 17, -1, 4, -1, 3, -1, -1, -1, -1, -1, 17, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0
0, 0, -1, -1, 0, 6, 0, 4, 0, 7, 0, 6, -1, 7, 0, 5, 0, 3, 0, 3, -1, -1, -1, -1, -1, 20, -1, -1, 0, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1, -1, 0, 0
0, 0, -1, -1, -1, 1, -1, 1, 0, 3, 0, 3, -1, 5, -1, 5, 0, 0, 0, 0, -1, -1, -1, -1, -1, 23, 0, 0, 0, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0
0, 0, 0, 0, -1, 1, -1, 1, 0, 3, 0, 3, -1, 5, -1, 5, 0, 0, 0, 0, -1, -1, -1, -1, -1, 23, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0
0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 4, 0, 8, -1, 7, -1, -1, 0, 0, -1, -1, -1, -1, 0, 0, -1, 1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, 0, 0
0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 4, 0, 8, -1, 8, 0, 0, 0, 0, -1, -1, -1, -1, 0, 0, -1, 1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, 0, 0
